threshold,precision,recall,f1,fbeta,mcc,auc
0.73,0.6823299069995106,0.6860236220472441,0.6841717791411043,0.6852816832169895,0.6728882876069072,0.9586109625857212
0.74,0.6960907944514502,0.6791338582677166,0.6875077842819778,0.6824588299292814,0.6765692631980064,0.9586109625857212
0.75,0.7112785862785863,0.6734744094488189,0.6918604651162791,0.6807103064066852,0.681461851203057,0.9586109625857212
0.76,0.7242666666666666,0.6683070866141733,0.6951625287944715,0.6787963610916726,0.6853430010712833,0.9586109625857212
0.77,0.7364957499314505,0.6609251968503937,0.6966670989495526,0.674772647339597,0.6875369153919131,0.9586109625857212
0.78,0.7474690663667042,0.6540354330708661,0.6976377952755906,0.6708055723803755,0.6892420823038171,0.9586109625857212
0.79,0.7582322357019065,0.6459153543307087,0.6975817167153867,0.6656354599857998,0.6900534522658698,0.9586109625857212
0.8,0.7714285714285715,0.6377952755905512,0.6982758620689655,0.66068515497553,0.6918982514684916,0.9586109625857212
0.81,0.7820238459186794,0.6294291338582677,0.6974778459441036,0.6549905259384442,0.6922188274800493,0.9586109625857212
0.82,0.7926599749058971,0.6218011811023622,0.696911196911197,0.6498148529109236,0.692851982925875,0.9586109625857212
0.83,0.8044041450777202,0.6112204724409449,0.6946308724832215,0.6420595533498761,0.6921593531369906,0.9586109625857212
0.84,0.8159733777038269,0.6033464566929134,0.6937332013014571,0.6365193915165361,0.6928030895914129,0.9586109625857212
0.85,0.8297138917614616,0.5922736220472441,0.691170136396267,0.6282298898574933,0.6923636015376056,0.9586109625857212
0.86,0.8389619623178102,0.5807086614173228,0.6863457903155445,0.6188053909486603,0.6894462484126843,0.9586109625857212
0.87,0.8506208911614317,0.5730807086614174,0.6847985886503969,0.6130883436874803,0.6898256516438058,0.9586109625857212
0.88,0.8627599243856333,0.5615157480314961,0.6802802205991951,0.603671763398762,0.6878154531555825,0.9586109625857212
0.89,0.8755432635322007,0.5452755905511811,0.6720242608036391,0.5897695214776175,0.6828759815379394,0.9586109625857212
0.9,0.8867380560131796,0.5297736220472441,0.6632778804682686,0.5761614215371441,0.6774365832805544,0.9586109625857212
